Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
Double Lariat,ダブルラリアット,27.1,27,1115,Master,256,
Eleventh,イレヴンス,27.1,27,699,Master,539,
Ikiru,生きる,27.1,27,704,Master,644,
Kazatte,飾って,27.1,27,520,Master,572,
Love is War,恋は戦争,27.1,27,1262,Master,365,
MOTTO!!!,MOTTO!!!,27.1,27,1067,Master,405,
Near,ニア,27.1,27,841,Master,73,
Poka Poka Planet,ぽかぽかの星,27.1,27,903,Master,617,
SAIRAI,SAIRAI,27.1,27,727,Master,747,
The Servant of Evil,悪ノ召使,27.1,27,784,Master,191,
Torinokocity,トリノコシティ,27.1,27,852,Master,242,
Heartbeat #0822,心拍数♯0822,27.0,27,843,Master,155,
Shadow Shadow,Shadow Shadow,27.0,27,783,Master,476,
The Daughter of Evil,悪ノ娘,27.0,27,784,Master,190,
The Light That Dwells Here,そこに在る、光。,27.0,27,408,Master,564,lowest note count ever
Who?,Who?,27.0,27,847,Master,680,
99 Glooms,99 Glooms,27.0,27,1017,Expert,749,
Ángel,アンヘル,27.0,27,917,Expert,562,
Angel's Clover,天使のクローバー,27.0,27,985,Expert,112,
ARQETYPE,ARQETYPE,27.0,27,827,Expert,406,
BAKENOHANA,化けの花,27.0,27,875,Expert,549,
Brain Revolution Girl,脳内革命ガール,27.0,27,1189,Expert,344,
CHAOS,CHAOS,27.0,27,890,Expert,744,
Children Record,チルドレンレコード,27.0,27,1234,Expert,136,
Chou Night of Knights,超ナイト・オブ・ナイツ,27.0,27,1201,Expert,622,
CIRCUS PANIC!!!,CIRCUS PANIC!!!,27.0,27,1083,Expert,408,
CYBER PUNK DEAD BOY,サイバーパンクデッドボーイ,27.0,27,917,Expert,452,
Doctor=Funk Beat,ドクター=ファンクビート,27.0,27,984,Expert,28,
Eternal Aria,エターナルアリア,27.0,27,1272,Expert,364,
Fräulein=Ojousama,フロイライン＝オジョウサマ,27.0,27,1130,Expert,714,
Fräulein=библиотека,フロイライン＝ビブリォチカ,27.0,27,1222,Expert,251,
Fusion,フュージョン,27.0,27,1056,Expert,555,
FUTURE EVE,フューチャー・イヴ,27.0,27,1462,Expert,273,
Ghost Rule,ゴーストルール,27.0,27,1174,Expert,199,
Greenlights Serenade,グリーンライツ・セレナーデ,27.0,27,1034,Expert,46,
Heat abnormal,熱異常,27.0,27,978,Expert,451,
Incomplete Anthem,未完成讃歌,27.0,27,1324,Expert,254,
Kagerou Daze,カゲロウデイズ,27.0,27,1295,Expert,171,
KILLER,キラー,27.0,27,825,Expert,474,
Kimi ga Tobioriru no Nara,君が飛び降りるのならば,27.0,27,970,Expert,641,
Kyu-kurarin,きゅうくらりん,27.0,27,1141,Expert,361,
Manhattan,マンハッタン,27.0,27,901,Expert,590,
My love is Hellfire,私の恋はヘルファイア,27.0,27,1491,Expert,301,
NEXT NEST,ネクストネスト,27.0,27,983,Expert,43,
Odoryanse,おどりゃんせ,27.0,27,1100,Expert,559,
OKOCHAMA SENSO,おこちゃま戦争,27.0,27,1259,Expert,307,
ONESELF,ONESELF,27.0,27,1063,Expert,227,
Outburst Dreamer Boys,厨病激発ボーイ,27.0,27,1118,Expert,581,
Parry,パリィ,27.0,27,963,Expert,553,
Play-With-Fire,ヒアソビ,27.0,27,1053,Expert,433,
Rule Book,ルルブ,27.0,27,1143,Expert,587,
SAI LOVE JINSEI RUNNER,最愛人生ランナー,27.0,27,1039,Expert,689,
Setsuna Trip,セツナトリップ,27.0,27,1275,Expert,354,
shinjinrui,新人類,27.0,27,1285,Expert,381,
SnowMix♪,SnowMix♪,27.0,27,1321,Expert,327,
Soudatta!!,そうだった！！,27.0,27,1175,Expert,165,
spring storm,春嵐,27.0,27,1095,Expert,392,
syndrome,心泥夢(syndrome),27.0,27,1221,Expert,444,
Teenager's Heartbeat,十六歳の心臓,27.0,27,1162,Expert,468,
Tensai Rock,天才ロック,27.0,27,1148,Expert,631,
Teo,テオ,27.0,27,997,Expert,3,
Theme of Niccori Survey Team,にっこり^^調査隊のテーマ,27.0,27,1026,Expert,178,
Tokimeki Jet Coaster,ときめきジェットコースター,27.0,27,1016,Expert,428,
Tokugawa Cupnoodle Prohibition,徳川カップヌードル禁止令,27.0,27,1065,Expert,234,
Tonal Twinkle Tetrad,世界を照らすテトラッド,27.0,27,850,Expert,411,
Tondemo-Wonderz,トンデモワンダーズ,27.0,27,1122,Expert,127,
TRASH and TRASH!,トラッシュ・アンド・トラッシュ！,27.0,27,1022,Expert,335,
Vampire's ∞ pathoS,Vampire's ∞ pathoS,27.0,27,992,Expert,334,
Violence Trigger,バイオレンストリガー,27.0,27,1277,Expert,703,
We Are Pico Pico Hammers!!!!!,ウィーアーピコピコハンマーズ!!!!,27.0,27,1125,Expert,688,
Zunda Party Night,ずんだパーリナイ,27.0,27,1407,Expert,379,
Happy Halloween,Happy Halloween,27.0,APD 26,832,Append,172,
Kanadetomosusora,カナデトモスソラ,26.9,26+,703,Master,149,
ray,ray,26.9,26+,1092,Master,148,
Twilight Light,トワイライトライト,26.9,26+,619,Master,384,
Sweet Magic,スイートマジック,26.9,APD 25,1126,Append,41,
Tell Your World,Tell Your World,26.9,APD 25,1353,Append,1,
glow,glow,26.8,26+,987,Master,339,
Hitorinbo Envy,独りんぼエンヴィー,26.8,26+,589,Master,74,
Intergalactic Bound,Intergalatic Bound,26.8,26+,996,Master,464,
Kimi no Yoru wo Kure,君の夜をくれ,26.8,26+,662,Master,237,
Lagtrain,ラグトレイン,26.8,APD 25,1038,Append,469,
Aioi,相生,26.7,26+,1232,Master,351,
Love material,アイノマテリアル,26.7,26+,814,Master,144,
Sorega Anata No Shiawase To Shitemo,それがあなたの幸せとしても,26.7,26+,814,Master,294,
glow,glow,26.7,APD 25,855,Append,339,
Nomad,ノマド,26.7,APD 25,531,Append,189,
Bloom in mud,泥中に咲く,26.6,26+,761,Master,270,
Comet Galaxy,彗星ノ銀河,26.6,26+,699,Master,526,
Ichi Ni no San de,いちにのさんで,26.6,26+,715,Master,292,
Plaything,,26.6,26+,807,Master,535,
Ten Thousand Stars,,26.6,26+,933,Master,453,
ECHO,ECHO,26.5,26,805,Master,100,
Fondant Step,Fondant Step,26.5,26,904,Master,618,
Interviewer,インタビュア,26.5,26,1097,Master,330,
Jishoumushoku,自傷無色,26.5,26,829,Master,67,
Nomad,ノマド,26.5,26,592,Master,189,
Sono E no Namae wa,その絵の名前は,26.5,26,555,Master,597,
CrystalSnow,クリスタルスノウ,26.4,26,773,Master,593,
Dawn and Fireflies,夜明けと蛍,26.4,26,852,Master,311,
Hajimete no Oto,ハジメテノオト,26.4,26,639,Master,470,
Meru,メリュー,26.4,26,983,Master,218,
Becoming Potatoes,potatoになっていく,26.4,APD 25,703,Append,52,
Dawn and Fireflies,夜明けと蛍,26.4,APD 25,717,Append,311,
Epilogue without you,エピローグに君はいない,26.3,26,625,Master,332,
Happy Cheat Day,ハッピーチートデー,26.3,26,817,Master,463,
Metamo Re:born,メタモリボン,26.3,26,685,Master,209,
Packaged,Packaged,26.3,26,839,Master,604,
Reborn,再生,26.3,26,547,Master,142,
Suresure,すれすれ,26.3,26,595,Master,442,
Kanadetomosusora,カナデトモスソラ,26.3,APD 24,1020,Append,149,
kokoronashi,心做し,26.2,26,832,Master,358,
Made to Order,オーダーメイド,26.2,26,601,Master,196,
Copycat,Copycat,26.1,26,997,Master,247,
Tell Your World,Tell Your World,26.1,26,1147,Master,1,
Where shall we go?,Where shall we go?,26.1,26,735,Master,338,
Goodbye,Goodbye,26.0,26,860,Master,228,
"Sky Passing Around, Moon Rabbit",回る空うさぎ,26.0,26,607,Master,607,
(Not) A Devil,デビルじゃないもん,26.0,26,854,Expert,412,
88☆彡,88☆彡,26.0,26,1088,Expert,224,
Accelerate,アクセラレイト,26.0,26,810,Expert,583,
All I Need are Things I Like,すきなことだけでいいです,26.0,26,1081,Expert,367,
All-Save Challenge,オールセーブチャレンジ,26.0,26,795,Expert,538,
Alter Ego,オルターエゴ,26.0,26,1175,Expert,167,
Artifact,,26.0,26,1008,Expert,694,
Awaiting Clear Skies,霽れを待つ,26.0,26,974,Expert,97,
Be The MUSIC!,Be The MUSIC!,26.0,26,1121,Expert,336,
Blue Planet,ブループラネット,26.0,26,1287,Expert,357,
bug,バグ,26.0,26,1101,Expert,248,
Chu! Future☆Express!,,26.0,26,1062,Expert,701,
Chururira Chururira Daddadda!,チュルリラ・チュルリラ・ダッダッダ！,26.0,26,1246,Expert,88,
Cirno's Perfect Math Academy,チルノのパーフェクトさんすう学園,26.0,26,999,Expert,624,
Close to gray,限りなく灰色へ,26.0,26,818,Expert,90,
Composing the Future,悔やむと書いてミライ,26.0,26,815,Expert,60,
Cute Na Kanojo,キュートなカノジョ,26.0,26,1006,Expert,391,
D/N/A,D/N/A,26.0,26,913,Expert,596,
Dameningenda!,だめにんげんだ!,26.0,26,917,Expert,482,
Dance Robot Dance,ダンスロボットダンス,26.0,26,927,Expert,68,
Devil's Manner,悪魔の踊り方,26.0,26,792,Expert,133,
Disco No.39,Disco No.39,26.0,26,950,Expert,399,
EGOIST,エゴイスト,26.0,26,1303,Expert,299,
Envy Cat Walk,エンヴィキャットウォーク,26.0,26,932,Expert,595,
Evil Food Eater Conchita,悪食娘コンチータ,26.0,26,791,Expert,349,
Explore,エクスプロウル,26.0,26,1024,Expert,636,
FAKE HEART,,26.0,26,778,Expert,514,
Fish and Tips,フィッシュアンドTips,26.0,26,833,Expert,626,
fixer,フィクサー,26.0,26,948,Expert,183,
Genten,げんてん,26.0,26,1021,Expert,669,
Gimme×Gimme,Gimme×Gimme,26.0,26,842,Expert,83,
Goodbye Declaration,グッバイ宣言,26.0,26,1017,Expert,198,
Hanamusubi,花結び,26.0,26,989,Expert,695,
HANAOBORE,花溺れ,26.0,26,780,Expert,557,
Hated by Life,命に嫌われている,26.0,26,756,Expert,22,
HAVEN,ヘイヴン,26.0,26,875,Expert,508,
"Help me, ERINNNNNN!!","Help me, ERINNNNNN!!",26.0,26,1168,Expert,502,
HERO,HERO,26.0,26,1194,Expert,414,
Hitomania,人マニア,26.0,26,1000,Expert,664,
Hurray,フレー,26.0,26,1067,Expert,302,
I am you,Iなんです,26.0,26,910,Expert,304,
i DO what i WANT,,26.0,26,751,Expert,657,
I know I know.,I know 愛脳,26.0,26,1016,Expert,504,
I Maker!,アイ・メイカー！,26.0,26,1118,Expert,741,
Identity,アイデンティティ,26.0,26,1196,Expert,231,
Jack Pot Sad Girl,ジャックポットサッドガール,26.0,26,647,Expert,62,
Jet Black,ジェットブラック,26.0,26,1052,Expert,687,
junky nighttown orchestra,ジャンキーナイトタウンオーケストラ,26.0,26,1070,Expert,84,
Kareshi no Jude,カレシのジュード,26.0,26,1184,Expert,652,
Kibou no tsuki,幾望の月,26.0,26,892,Expert,456,
Kuronuri Sekai ate Shokan,黒塗り世界宛て書簡,26.0,26,930,Expert,704,
Last Score,ラストスコア,26.0,26,1050,Expert,197,
Lavie,ラヴィ,26.0,26,1080,Expert,723,
Law-evading Rock,脱法ロック,26.0,26,972,Expert,21,
Liar Dancer,ライアーダンサー,26.0,26,892,Expert,509,
Life Will Change,Life Will Change,26.0,26,973,Expert,648,
limbo,limbo,26.0,26,900,Expert,416,
Lose The Princess,さよならプリンセス,26.0,26,812,Expert,413,
Lost One's Weeping,ロストワンの号哭,26.0,26,947,Expert,98,
Lower one's eyes,ロウワー,26.0,26,780,Expert,187,
Mahou Shoujo Koufukuron,魔法少女幸福論,26.0,26,982,Expert,715,
Marshall Maximizer,マーシャル・マキシマイザー,26.0,26,694,Expert,410,
Marshmary,マシュマリー,26.0,26,1123,Expert,157,
merry-go-round,メリーゴーラウンド,26.0,26,874,Expert,517,
Mesmerizer,メズマライザー,26.0,26,1218,Expert,531,
Milk Crown on Sonechka,ミルククラウン・オン・ソーネチカ,26.0,26,1025,Expert,107,
Monitoring,モニタリング,26.0,26,901,Expert,628,
MORE! JUMP! MORE!,モア！ジャンプ！モア！,26.0,26,1011,Expert,99,
Mr. Showtime,Mr. Showtime,26.0,26,1341,Expert,333,
Non-breath oblige,ノンブレス・オブリージュ,26.0,26,1071,Expert,268,
Nyanyanyanyanyanyanya!,Nyanyanyanyanyanyanya!,26.0,26,1059,Expert,713,
O-Barcode,オーバーコード,26.0,26,1113,Expert,446,
Odo,踊,26.0,26,882,Expert,205,
Opera! Space Opera!,オペラ！スペースオペラ！,26.0,26,986,Expert,450,
Osmanthus,金木犀,26.0,26,814,Expert,418,
Override,オーバーライド,26.0,26,1004,Expert,521,
Pheles,フェレス,26.0,26,1374,Expert,291,
Piano × Forte × Scandal,ピアノ×フォルテ×スキャンダル,26.0,26,1042,Expert,222,
Poppin' Candy☆Fever!,ポッピンキャンディ☆フィーバー！,26.0,26,1140,Expert,494,
Positive☆Dance Time,ポジティブ☆ダンスタイム,26.0,26,965,Expert,122,
Protodisco,プロトディスコ,26.0,26,913,Expert,561,
RAD DOGS,RAD DOGS,26.0,26,1067,Expert,101,
Red Land Marker,レッドランドマーカー,26.0,26,1018,Expert,462,
Regulus,レグルス,26.0,26,949,Expert,423,
Relayouter,リレイアウター,26.0,26,960,Expert,435,
Rocket Cider,ロケットサイダー,26.0,26,1110,Expert,665,
Rollin Girl,ローリンガール,26.0,26,1156,Expert,113,
Ruma,ルマ,26.0,26,899,Expert,601,
Saitama 2000,さいたま2000,26.0,26,659,Expert,707,
Sayonara Tengoku Mata Kite Jigoku,サヨナラ天国また来て地獄,26.0,26,723,Expert,649,
Secret Seeker,シークレット・シーカー,26.0,26,894,Expert,569,
Selfish princess,我儘姫,26.0,26,1040,Expert,376,
Senbonzakura,千本桜,26.0,26,1000,Expert,110,
Shama,紗痲,26.0,26,1088,Expert,620,
Sick of House!,しっくおぶはうす！,26.0,26,1107,Expert,185,
Silver Collector,シルバーコレクター,26.0,26,1113,Expert,496,
SlowDowner,スロウダウナー,26.0,26,1054,Expert,378,
snooze,snooze,26.0,26,961,Expert,554,
Stardust Medley,スターダストメドレー,26.0,26,1215,Expert,380,
Starry Melancolia,星宙メランコリア,26.0,26,1004,Expert,608,
Stella,ステラ,26.0,26,955,Expert,64,
"Still, we never stop singing",それでも僕らは歌うことをやめない,26.0,26,705,Expert,524,
Suicide Parade,スーサイドパレヱド,26.0,26,918,Expert,606,
Surges,Surges,26.0,26,950,Expert,632,
T-shi no Hanashi wo Shinjiru na,T氏の話を信じるな,26.0,26,948,Expert,727,
The Gardener's Story,庭師のおはなしによると,26.0,26,1121,Expert,633,
The peachy key,ももいろの鍵,26.0,26,1073,Expert,308,
Touhou☆Wonderland,とうほう☆ワンダーランド,26.0,26,806,Expert,623,
Unhappy Refrain,アンハッピーリフレイン,26.0,26,1137,Expert,288,
Unknown Mother-Goose,アンノウン・マザーグース,26.0,26,1080,Expert,115,
Ura-Omote Lovers,裏表ラバーズ,26.0,26,1017,Expert,114,
Venom,ベノム,26.0,26,972,Expert,145,
Venus,ヴィーナス,26.0,26,1124,Expert,663,
Wanderlast,ワンダーラスト,26.0,26,1418,Expert,711,
We are Different !!! (or Same),ちがう!!!,26.0,26,930,Expert,475,
White Happy,ホワイトハッピー,26.0,26,939,Expert,651,
World's End Dancehall,ワールズエンド・ダンスホール,26.0,26,957,Expert,119,
Yobanashi Deceive,夜咄ディセイブ,26.0,26,1165,Expert,81,
Your Adventure Log Has Vanished!,ぼうけんのしょがきえました！,26.0,26,951,Expert,78,
Passion at 25:00,25時の情熱,25.9,25+,725,Master,409,
Ichi Ni no San de,いちにのさんで,25.8,APD 24,791,Append,292,
Anata no Sora ga Naku no Nara,あなたの空が泣くのなら,25.6,25,682,Master,659,
Made to Order,オーダーメイド,25.6,APD 24,634,Append,196,
Yokanimotorete,余花にみとれて,25.5,25,613,Master,500,
"A Glimmer, 1/f fluctuation",幽光、1/fのゆらめき,25.0,25,718,Expert,427,
About me,About me,25.0,25,863,Expert,643,
AI,アイ,25.0,25,821,Expert,616,
AI no UTA,あいのうた,25.0,25,950,Expert,467,
Alien Alien,エイリアンエイリアン,25.0,25,1208,Expert,246,
Amanojaku,天ノ弱,25.0,25,982,Expert,289,
Anata Shika Mienai no,あなたしか見えないの,25.0,25,969,Expert,682,
Antenna 39,アンテナ39,25.0,25,1139,Expert,525,
At God's Mercy,神のまにまに,25.0,25,900,Expert,201,
Attract Light,アトラクトライト,25.0,25,1295,Expert,321,
Bad ∞ End ∞ Night,Bad ∞ End ∞ Night,25.0,25,875,Expert,278,
Balleriko,バレリーコ,25.0,25,965,Expert,589,
Beat Eater,Beat Eater,25.0,25,772,Expert,156,
Beyond the way,Beyond the way,25.0,25,737,Expert,398,
Bitter Choco Decoration,ビターチョコデコレーション,25.0,25,1059,Expert,129,
Blackjack,Blackjack,25.0,25,921,Expert,542,
Blood Doll,ブラッドドール,25.0,25,795,Expert,656,
Blue Star,Blue Star,25.0,25,1046,Expert,342,
Bocca della Verità,ボッカデラベリタ,25.0,25,884,Expert,125,
Booo!,Booo!,25.0,25,823,Expert,320,
BRING IT ON,劣等上等,25.0,25,825,Expert,26,
BURIKI NO DANCE,ブリキノダンス,25.0,25,852,Expert,38,
Butterfly on Your Right Shoulder,右肩の蝶,25.0,25,1058,Expert,177,
Calc.,Calc.,25.0,25,1126,Expert,243,
Call Boy,コールボーイ,25.0,25,809,Expert,505,
Call!!,Call!!,25.0,25,549,Expert,594,
"Can't Defeat ""Take No Notice Boys""",難聴系男子が倒せない,25.0,25,1028,Expert,341,
Can't Make A Song!!,,25.0,25,907,Expert,459,
Cat Loving,キャットラビング,25.0,25,934,Expert,491,
Cellphone Love Story,携帯恋話,25.0,25,981,Expert,61,
Cendrillon 10th Anniversary,サンドリヨン 10th Anniversary,25.0,25,735,Expert,104,
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を,25.0,25,884,Expert,154,
Cool Me Down,Cool Me Down,25.0,25,1159,Expert,425,
Cosmospice,コスモスパイス,25.0,25,849,Expert,233,
culture,カルチャ,25.0,25,797,Expert,529,
Cutlery,カトラリー,25.0,25,686,Expert,111,
DarlingDance,ダーリンダンス,25.0,25,824,Expert,168,
DAYBREAK FRONTLINE,DAYBREAK FRONTLINE,25.0,25,1102,Expert,253,
Do not go,いかないで,25.0,25,977,Expert,120,
DOKUZU,ド屑,25.0,25,844,Expert,455,
DONUT HOLE 2024,ドーナツホール 2024,25.0,25,1046,Expert,220,
Doukaai,導火愛,25.0,25,883,Expert,737,
Dramaturgy,ドラマツルギー,25.0,25,747,Expert,91,
DREAM PLACE,DREAM PLACE,25.0,25,937,Expert,252,
drop pop candy,drop pop candy,25.0,25,773,Expert,15,
"E? Ah,sou.",え？あぁ、そう。,25.0,25,838,Expert,437,
Ego rock,エゴロック,25.0,25,1041,Expert,225,
Eien Hanahadashii,永遠甚だしい,25.0,25,930,Expert,706,
EYELID,アイリッド,25.0,25,813,Expert,560,
FAILURE GIRL,失敗作少女,25.0,25,805,Expert,510,
filament fever,フィラメントフィーバー,25.0,25,864,Expert,397,
Fire Dance,ファイアダンス,25.0,25,606,Expert,576,
Fire◎Flower (Rerec),Fire◎Flower (Rerec),25.0,25,734,Expert,536,
FUEL,フューエル,25.0,25,698,Expert,478,
FUN!!,FUN!!,25.0,25,622,Expert,575,
Gehenna,ジェヘナ,25.0,25,1177,Expert,272,
Glory Steady Go!,Glory Steady Go!,25.0,25,738,Expert,166,
God-ish,神っぽいな,25.0,25,1035,Expert,385,
Good Weather,快晴,25.0,25,1286,Expert,323,
Hao,ハオ,25.0,25,964,Expert,724,
Happy Halloween,Happy Halloween,25.0,25,827,Expert,172,
Hashiru! Tooku! Todoku!,はしる! とおく! とどく!,25.0,25,742,Expert,498,
"Hello, Worker","Hello, Worker",25.0,25,773,Expert,286,
"Hello,world!","Hello,world!",25.0,25,900,Expert,184,
Henceforth,Henceforth,25.0,25,916,Expert,484,
Hibikase,ヒビカセ,25.0,25,898,Expert,109,
Hoshi ni Ichiban Chikai Basho,星に一番近い場所,25.0,25,964,Expert,681,
I want to be your heart,だれかの心臓になれたなら,25.0,25,811,Expert,152,
I'm Mine,アイムマイン,25.0,25,1058,Expert,368,
IDSMILE,アイディスマイル,25.0,25,985,Expert,116,
imaginary love story,imaginary love story,25.0,25,1019,Expert,420,
Imasugu Rinne,いますぐ輪廻,25.0,25,796,Expert,733,
Into The Night,夜に駆ける,25.0,25,932,Expert,139,
It's just life,命ばっかり,25.0,25,1037,Expert,352,
Journey,Journey,25.0,25,1285,Expert,235,
Judas,ジウダス,25.0,25,769,Expert,215,
Kimagure Mercy,気まぐれメルシィ,25.0,25,1247,Expert,281,
KING,KING,25.0,25,1002,Expert,138,
KISARAGI ATTENTION,如月アテンション,25.0,25,855,Expert,511,
Kiss the Villain,悪役にキスシーンを,25.0,25,998,Expert,377,
KLY,一千光年,25.0,25,941,Expert,439,
Kono Manma de Ikou,このまんまでいこう,25.0,25,738,Expert,642,
Konton Boogie,混沌ブギ,25.0,25,962,Expert,499,
Last of Me,,25.0,25,1084,Expert,598,
Leia - Remind,Leia - Remind,25.0,25,970,Expert,85,
Literary nonsense,ノンセンス文学,25.0,25,856,Expert,158,
Lost and Found,ロストエンファウンド,25.0,25,1082,Expert,226,
Love Ka?,ラブカ？,25.0,25,710,Expert,260,
"Love Me, Love Me, Love Me",愛して愛して愛して,25.0,25,928,Expert,181,
Love! Snow! Really Magic,好き！雪！本気マジック,25.0,25,828,Expert,611,
Luka Luka★Night Fever,ルカルカ★ナイトフィーバー,25.0,25,950,Expert,216,
magic number,magic number,25.0,25,818,Expert,161,
Mahou Shoujo to Chocolate,魔法少女とチョコレゐト,25.0,25,797,Expert,700,
Main Character,メインキャラクター,25.0,25,951,Expert,541,
"Maku o Orosou, Parade e",幕を下ろそう、パレードへ,25.0,25,861,Expert,718,
manimani,まにまに,25.0,25,893,Expert,401,
Marionette Dancer,マリオネットダンサー,25.0,25,860,Expert,639,
Masquerade,Masquerade,25.0,25,868,Expert,746,
MATORYOSHKA,マトリョシカ,25.0,25,887,Expert,221,
Medicine,イガク,25.0,25,892,Expert,515,
Melt,メルト,25.0,25,1363,Expert,47,
METEOR,METEOR,25.0,25,1160,Expert,337,
MikuFiesta,,25.0,25,867,Expert,479,
Miracle Paint,ミラクルペイント,25.0,25,1300,Expert,36,
Moonlight,月光,25.0,25,1058,Expert,239,
mousou aspartame,妄想アスパルテーム,25.0,25,828,Expert,544,
Music Like Magic!,魔法みたいなミュージック！,25.0,25,1080,Expert,317,
My Palette is Full of You,パレットには君がいっぱい,25.0,25,900,Expert,214,
NAKAKAPAGPABAGABAG,,25.0,25,882,Expert,563,
needLe,needLe,25.0,25,889,Expert,63,
NEO,NEO,25.0,25,939,Expert,366,
Night Sky Patrol of Tomorrow,アスノヨゾラ哨戒班,25.0,25,1073,Expert,18,
NIJIIRO STORIES,ニジイロストーリーズ,25.0,25,881,Expert,103,
Nisemono Ningen 40-gou,偽物人間40号,25.0,25,775,Expert,571,
Noda,のだ,25.0,25,918,Expert,558,
One Sheep,ひつじがいっぴき,25.0,25,1120,Expert,316,
ONLINE GAME ADDICTS SPRECHCHOR,ネトゲ廃人シュプレヒコール,25.0,25,1156,Expert,298,
Pamela,パメラ,25.0,25,877,Expert,653,
Parasol Cider,パラソルサイダー,25.0,25,796,Expert,264,
Peaky Peaky,Peaky Peaky,25.0,25,747,Expert,207,
Pentatonic,ペンタトニック,25.0,25,733,Expert,585,
Pulse of the Meteor,流星のパルス,25.0,25,958,Expert,173,
QUEEN,QUEEN,25.0,25,1164,Expert,506,
Queen of Hearts,クイーンオブハート,25.0,25,1189,Expert,592,
Rain and Petra,雨とペトラ,25.0,25,976,Expert,210,
Rainy Snowdrop,レイニースノードロップ,25.0,25,1234,Expert,283,
Ramune,ラムネ,25.0,25,951,Expert,702,
Raspberry＊Monster,ラズベリー＊モンスター,25.0,25,933,Expert,705,
Ready Steady,Ready Steady,25.0,25,564,Expert,54,
Realize,リアライズ,25.0,25,744,Expert,356,
Reincarnation Apple,転生林檎,25.0,25,851,Expert,533,
Retainer Supplanting His Lord,下剋上,25.0,25,1228,Expert,373,
Rin-chan Now!,リンちゃんなう！,25.0,25,1098,Expert,303,
Salamander,サラマンダー,25.0,25,1186,Expert,230,
Samsa,ザムザ,25.0,25,779,Expert,300,
SEIBAIITAAAAASU!,成敗いたAAAAAす！,25.0,25,1022,Expert,472,
SHANTI,シャンティ,25.0,25,942,Expert,276,
SHIAWASE FOR YOU!,SHIAWASE FOR YOU!,25.0,25,789,Expert,719,
Shinkai City Underground,深海シティアンダーグラウンド,25.0,25,872,Expert,645,
Showtime Ruler,ショウタイム・ルーラー,25.0,25,819,Expert,160,
Showtime×Audience,ショウタイム×オーディエンス,25.0,25,1091,Expert,440,
Shuuen Touhikou,終焉逃避行,25.0,25,721,Expert,547,
Singing of a flower,花を唄う,25.0,25,807,Expert,137,
Sono Oto ga Narunara,その音が鳴るなら,25.0,25,952,Expert,546,
STAGE OF SEKAI,STAGE OF SEKAI,25.0,25,1005,Expert,159,
Star,スター,25.0,25,799,Expert,570,
Star Night Snow,スターナイトスノウ,25.0,25,859,Expert,614,
Stardust Utopia,星屑ユートピア,25.0,25,1183,Expert,261,
Step for a Crescent,三日月ステップ,25.0,25,891,Expert,580,
SToRY,SToRY,25.0,25,705,Expert,574,
Super Hero,スーパーヒーロー,25.0,25,904,Expert,495,
sweety glitch,,25.0,25,894,Expert,371,
Synthesize You,合成するミライ,25.0,25,969,Expert,512,
TEARS OF GARNET,ガーネットの涙,25.0,25,774,Expert,466,
Telecaster b boy,テレキャスタービーボーイ,25.0,25,726,Expert,134,
Tengaku,天樂,25.0,25,1396,Expert,372,
TETORIS,テトリス,25.0,25,653,Expert,627,
The Bubble Future,泡沫未来,25.0,25,750,Expert,151,
The Vampire,ヴァンパイア,25.0,25,1029,Expert,213,
the WALL,the WALL,25.0,25,815,Expert,259,
This Messed Up Wonderful World Exists For Me,このふざけた素晴らしき世界は、僕の為にある,25.0,25,946,Expert,625,
TOKIO FUNKA,トキヲ・ファンカ,25.0,25,780,Expert,150,
Transparent Elegy,透明エレジー,25.0,25,848,Expert,520,
Transparent Palette,透明なパレット,25.0,25,852,Expert,646,
Twilight Melody,Twilight Melody,25.0,25,943,Expert,445,
ULTRA C,ULTRA C,25.0,25,651,Expert,471,
villain,ヴィラン,25.0,25,984,Expert,170,
Vocalo-Colosseum,ぼかろころしあむ,25.0,25,805,Expert,692,
Voices,Voices,25.0,25,1144,Expert,236,
Waraetara Ee Yan!,笑えたらえーやん！,25.0,25,878,Expert,637,
We're Still Underground,僕らまだアンダーグラウンド,25.0,25,920,Expert,208,
When First Love Ends,初めての恋が終わる時,25.0,25,822,Expert,407,
World Lampshade[reunion],ワールド・ランプシェード [reunion],25.0,25,895,Expert,534,
Yankee Boy Yankee Girl,ヤンキーボーイ・ヤンキーガール,25.0,25,903,Expert,586,
Yoshiwara Lament second edition,吉原ラメント 再来盤,25.0,25,1135,Expert,591,
YY,YY,25.0,25,976,Expert,266,
8.32,8.32,24.0,24,659,Expert,629,
39,39,24.0,24,1139,Expert,331,
1925,1925,24.0,24,887,Expert,306,
"""Hmm,Ah,Ah.""",んっあっあっ。,24.0,24,742,Expert,430,
"*Hello, Planet",31.5,24.0,24,931,Expert,118,
"1, 2, FanClub",いーあるふぁんくらぶ,24.0,24,863,Expert,174,
A Word,アコトバ,24.0,24,664,Expert,483,
Abelia,アベリア,24.0,24,865,Expert,677,
"Ah, It's A Wonderful Cat Life",嗚呼、素晴らしきニャン生,24.0,24,1185,Expert,346,
Airhead,ガランド,24.0,24,761,Expert,200,
Alkali Rettousei,アルカリレットウセイ,24.0,24,854,Expert,726,
All in One,オールイン・ワン,24.0,24,1029,Expert,760,
